City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
182,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,75,20,10.0,few clouds
183,Pauini,BR,-7.7136,-66.9764,91.81,53,83,3.8,broken clouds
184,Yulara,AU,-25.2406,130.9889,58.84,77,22,5.75,few clouds
185,Puerto Escondido,MX,15.85,-97.0667,86.83,70,20,9.22,few clouds
186,Vysokopillya,UA,47.4919,33.5306,59.92,67,77,8.77,broken clouds
187,Mount Isa,AU,-20.7333,139.5,69.57,100,100,3.44,mist
188,Mugango,TZ,-1.6833,33.7,70.68,79,100,2.77,light rain
189,Cap Malheureux,MU,-19.9842,57.6142,76.46,68,3,5.01,clear sky
190,Vicuna,CL,-30.0319,-70.7081,80.76,33,0,7.38,clear sky
191,Japura,ID,-0.3167,102.35,75.43,97,96,1.81,overcast clouds
192,Aasiaat,GL,68.7098,-52.8699,27.64,88,96,2.57,overcast clouds
193,Pangnirtung,CA,66.1451,-65.7125,23.0,93,100,24.16,light snow
194,Nome,US,64.5011,-165.4064,30.27,93,100,5.75,mist
195,Iqaluit,CA,63.7506,-68.5145,4.73,78,100,32.21,light snow
196,Batemans Bay,AU,-35.7167,150.1833,62.1,92,70,3.58,broken clouds
197,Serenje,ZM,-13.2325,30.2352,61.56,94,12,3.94,few clouds
198,Constitucion,CL,-35.3333,-72.4167,56.25,79,100,7.27,overcast clouds
199,Micheweni,TZ,-4.9667,39.8333,80.76,80,86,6.87,overcast clouds
200,Liepaja,LV,56.5419,21.0367,46.38,76,0,6.91,clear sky
201,Kaseda,JP,31.4167,130.3167,69.66,94,50,9.64,scattered clouds
202,Frederico Westphalen,BR,-27.3592,-53.3944,83.44,64,17,9.1,few clouds
203,Tiarei,PF,-17.5333,-149.3333,77.02,74,9,5.17,clear sky
204,Ketchikan,US,55.3422,-131.6461,46.87,76,75,6.91,broken clouds
205,Leningradskiy,RU,69.3833,178.4167,2.66,96,81,6.06,broken clouds
206,Chapais,CA,49.7834,-74.8492,38.98,95,100,12.17,overcast clouds
207,Labuhan,ID,-6.8844,112.2051,79.5,85,93,3.85,overcast clouds
208,Matara,LK,5.9485,80.5353,79.09,88,93,2.42,overcast clouds
209,Roald,NO,62.5833,6.1333,48.9,81,75,10.36,broken clouds
210,Bintulu,MY,3.1667,113.0333,75.61,94,40,3.44,scattered clouds
211,Bandarbeyla,SO,9.4942,50.8122,82.96,69,47,8.79,scattered clouds
212,Sampit,ID,-2.5333,112.95,75.67,97,100,1.32,overcast clouds
213,Te Anau,NZ,-45.4167,167.7167,40.87,92,21,1.52,few clouds
214,Buston,TJ,40.2342,69.6948,66.38,59,75,8.95,broken clouds
215,Makushino,RU,55.2103,67.2442,49.3,82,95,2.98,light rain
216,Mount Gambier,AU,-37.8333,140.7667,53.51,87,93,5.75,overcast clouds
217,Fez,MA,34.0372,-4.9998,71.85,46,40,6.91,scattered clouds
218,Bubaque,GW,11.2833,-15.8333,78.49,74,12,17.0,few clouds
219,Marienburg,PL,54.0359,19.0266,44.85,90,100,9.95,overcast clouds
220,Gwadar,PK,25.1216,62.3254,82.27,76,0,9.1,clear sky
221,Sibolga,ID,1.7427,98.7792,76.71,92,100,2.26,overcast clouds
222,Cayenne,GF,4.9333,-52.3333,86.04,1,20,14.97,few clouds
